,variant_id,title,type2,nivel_prenda,specific_color,color,tipo_marca,season,disponibilidad,basicos,formalidad,estampado,atrevido,invierno_verano,interesante,detalle,specific_type,stock,envios,ventas,satisfaction,tasa_mercado,interest,marca,feature_name,feature_value
2692,0d4f0b53-10b3-4138-a80c-3189c591473f,Melodia Cardigan grette,Sweater,nivel_2,taupe,brown,Own production,7,proximamente,False,both,False,unknown,invierno,False,grette,sweater,0.0,910.6,268.4,0.2954117838121323,0.0077455024879853,0.1515786431500589,Own production,composition,false
2968,3e610f83-926d-4abf-9b14-ad99acb956d5,Nudray Shirt modal ,Shirt,nivel_2,garnet,red,Own production,8,proximamente,False,both,False,unknown,invierno,True,modal,shirt,0.4,1112.6,466.4,0.4108073826084845,0.0094637009313996,0.2101355417699421,Own production,style,60
863,7b4c3361-8f01-4467-bb89-30e44773d291,Charis Shirt film,Shirt,nivel_2,blue,blue,Own production,7,disponible,True,both,False,unknown,invierno,False,film,shirt,0.8,1359.0,374.0,0.2777095273610503,0.0115595627950495,0.1446345450780499,Own production,detail,false
2967,29e6ce40-8992-42d8-9bd6-451cbcd2e0cb,Nudpalma Shirt modal ,Shirt,nivel_2,black,black,Own production,8,proximamente,False,both,False,unknown,invierno,True,modal,shirt,0.0,1200.6,479.6,0.3636463502242174,0.0102122230255603,0.2134973814675328,Own production,application,false
2337,0c006e22-02ab-4a7e-979f-c2f2c6bb98d3,Libra Top solid ,Top,nivel_2,coral,orange,Own production,9,proximamente,False,both,False,unknown,invierno,False,solid,top,0.0,651.2,246.4,0.3588420502667326,0.005539063496789,0.1821905568817608,Own production,adventurous,false
2338,326d836f-f9e7-4f05-8dde-5739c665da50,Libra Top solid ,Top,nivel_2,khaki,brown,Own production,9,disponible,False,both,False,unknown,invierno,True,solid,top,5.6,624.8,277.2,0.4108941798941798,0.0053145068685408,0.2490092801302982,Own production,adventurous,false
2289,86472a7f-41a3-48f4-a47d-c8b526a3670c,Lena Dress print ,Dress,nivel_1,black,black,Own production,8,proximamente,False,both,False,unknown,invierno,False,print,dress,0.0,1882.4,514.8,0.2662935131151994,0.0160115680687279,0.1411525405919637,Own production,adventurous,true
987,358f4fa7-ed99-4ed5-ada6-b50ac068a2eb,Closet Shirt maine,Shirt,nivel_2,ecru,brown,Own production,7,disponible,False,both,False,unknown,invierno,False,maine,shirt,1.2,1429.4,448.8,0.3150989658375537,0.012158380470378,0.1636286731539659,Own production,adventurous,false
2970,04785bbb-bd40-43d8-9913-9f13e39f94e3,Nudrayas Shirt modal ,Shirt,nivel_2,garnet,red,Own production,8,proximamente,False,both,False,unknown,invierno,True,modal,shirt,2.8,1002.8,431.2,0.4050415781797901,0.0085297495002764,0.2240985333164931,Own production,style,62
2655,46be403d-6cf9-4963-9be0-602799d7e0c0,Martin Shirt bohck,Shirt,nivel_2,black,black,Own production,9,proximamente,False,both,False,unknown,invierno,True,bohck,shirt,0.0,193.6,70.4,0.4291666666666666,0.0016467486071534,0.3069610959894526,Own production,application,false
985,3e4d93d0-282c-49fd-abe1-0d6cca99ccbb,Closet Shirt delaware ,Shirt,nivel_2,garnet,red,Own production,7,proximamente,False,both,False,unknown,invierno,True,delaware,shirt,0.0,1328.2,514.8,0.4080770059183887,0.0112975800620933,0.209687292990241,Own production,adventurous,false
957,da48f322-30d6-4578-9f1f-1ac4f351704e,Clogross Scarf raising ,Foulard,nivel_3,blue_light,blue,Own production,8,disponible,True,both,False,basico,invierno,False,raising,foulard,15.0,6751.0,2067.0,0.3061768626870093,0.0574235529281673,0.1818002078075883,Own production,style,acrylic
3963,d795e856-02f1-40af-a0f6-55b2a3a7312f,Seema Bag sew ,Bag,nivel_3,nude,brown,Own production,7,proximamente,False,both,False,unknown,invierno,False,sew,bag,0.0,4772.0,1495.0,0.3132858340318524,0.0405903117424403,0.1769380728871464,Own production,application,big
