,index,title,specific_color,type2,specific_type,color,tipo_marca,stock,envios,ventas,satisfaction,tasa_mercado,interest,season,disponibilidad,marca,feature_name,feature_value,variant_id,nivel_prenda
1099,1100,Daisy Bag nude ,black,Bag,bag,black,OWN_PRODUCTION,1.0,4376.0,1539.0,0.351691042047532,0.0372219623187173,0.1944565021831246,9,disponible,OWN_PRODUCTION,application,leather,af7c7cc9-6179-4cf0-8c83-710310a60033,Nivel 3
1108,1109,Dana Bag nude,black,Bag,bag,black,OWN_PRODUCTION,1.0,4838.0,1693.0,0.3499379909053328,0.0411517033130608,0.1955448471091968,9,disponible,OWN_PRODUCTION,application,leather,c4bde00b-1205-45cb-8188-b9f56bbbecc9,Nivel 3
1127,1128,Daphne Bag nude ,black,Bag,bag,black,OWN_PRODUCTION,1.0,4508.0,2045.0,0.4536379769299024,0.0383447454599583,0.2459913611949303,9,disponible,OWN_PRODUCTION,detail,leather,b06a7515-382b-4644-bbeb-b997f776a88a,Nivel 3
1128,1129,Daphne Bag nude ,khaki,Bag,bag,brown,OWN_PRODUCTION,1.0,4530.0,1671.0,0.3688741721854304,0.0385318759834984,0.2037030240844644,9,disponible,OWN_PRODUCTION,detail,leather,c5efa171-d567-437e-93b6-46b3e14a925d,Nivel 3
1133,1134,Dark Jeans gj ,black,Jean,jean,black,NO_MAINSTREAM,1.3333333333333333,1191.1666666666667,498.6666666666667,0.4159983227941299,0.010131983725315,0.2437018406362046,9,disponible,NO_MAINSTREAM,composition,false,283e31f9-8125-4b32-9c38-efd12ba80ad5,Nivel 1
1134,1135,Dark Jeans gj ,khaki,Jean,jean,brown,NO_MAINSTREAM,5.333333333333333,777.1666666666666,278.6666666666667,0.3218754155462778,0.0066105275096046,0.1846290405980494,9,disponible,NO_MAINSTREAM,composition,false,01946a3a-0e68-4c24-b4b7-095c0394f5cd,Nivel 1
1138,1139,Darlim Top cerise ,pink,Top,top,pink,WHOLE_SALE,0.2,1412.0,712.8,0.5538193222530212,0.0120103772381235,0.3174085995206558,8,proximamente,WHOLE_SALE,adventurous,false,1823b54f-4225-4d3b-a2b9-2acb0f87cd44,Nivel 2
1151,1152,Denim Jeans casual,grey,Jean,jean,gray,NO_MAINSTREAM,0.6,2625.8,576.4,0.1950002745658813,0.022334878577808,0.1086675765718447,9,proximamente,NO_MAINSTREAM,composition,denim,03ae78ec-5194-4b6c-93d5-2d20ece41919,Nivel 1
1154,1155,Denim Pant short,blue_dark,Pant,pant,blue,NO_MAINSTREAM,0.2,761.0,132.0,0.1741726093933699,0.0064730149279122,0.1001824642679859,7,proximamente,NO_MAINSTREAM,detail,false,17079cfc-cbdb-4ec1-8a41-2452520b2d40,Nivel 1
1159,1160,Denise Dress stripes,blue,Dress,dress,blue,WHOLE_SALE,0.3333333333333333,1627.3333333333333,630.6666666666666,0.4157602147476406,0.013841988120047,0.2148011014338438,7,proximamente,WHOLE_SALE,style,false,31f1c9fa-5c15-4416-b262-6e78141d1927,Nivel 1
1163,1164,Desfarima Dress buttons ,black,Dress,dress,black,MAINSTREAM,0.3333333333333333,1774.1666666666667,806.3333333333334,0.4737151361245811,0.0150909425991295,0.2444030393618553,9,proximamente,MAINSTREAM,composition,false,23a6bafb-3bfa-4a96-8c9a-faf232cd0d2a,Nivel 1
1164,1165,Desfatana Shirt cotton ,ecru,Shirt,shirt,brown,MAINSTREAM,1.6666666666666667,1293.8333333333333,539.0,0.449480097592203,0.0110052595018358,0.2763050616888905,9,disponible,MAINSTREAM,detail,53,2fa7f00e-2157-4032-a0ac-d685cc967b62,Nivel 2
1165,1166,Desfatana Top stripes ,ecru,Top,top,brown,MAINSTREAM,0.3333333333333333,1733.8333333333333,791.6666666666666,0.4839473927066984,0.0147478699726392,0.2938900354669862,9,proximamente,MAINSTREAM,adventurous,50,0dc23c6b-04d1-46f5-a662-62d5dfb7361a,Nivel 2
1167,1168,Desfiona Pant squared ,brown_light,Pant,pant,brown,MAINSTREAM,10.0,769.6666666666666,176.0,0.2320906638821279,0.0065467330129431,0.1411885419942175,9,disponible,MAINSTREAM,detail,true,8b640507-76f8-47a0-bb15-43c5edeeda5d,Nivel 1
1169,1170,Desflicka Trench jacket ,beige,Jacket,jacket,beige,MAINSTREAM,2.5,1950.0,590.3333333333334,0.3209263093480632,0.0165865691319695,0.1687564392400164,9,disponible,MAINSTREAM,detail,false,248df838-6b76-4585-8577-30a3b0d0e228,Nivel 3
1170,1171,Desflicka Trench jacket ,khaki,Jacket,jacket,brown,MAINSTREAM,2.6666666666666665,1843.8333333333333,608.6666666666666,0.3520971529574229,0.01568352259034,0.1838903377738815,9,disponible,MAINSTREAM,detail,false,31d26d8d-8e4b-460b-8e55-7ed2cf3a8fb0,Nivel 3
